study_id,treatment,replicate,time_hours,time_days,source_day_label,source_reported_time_days,temperature_c,carbon_material,process_temperature_c,dose_g_l,raw_cumulative_methane_ml,blank_mean_cumulative_methane_ml,methane_ml_g_vs,included_in_benchmark,exclusion_reason,data_origin,source_doi
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,3,5,0.20833333,1,0.05208333,37,torrefaction_product,240,5.0,134.90000000,38.43333333,21.79745857,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,1,5,0.20833333,1,0.05208333,37,biochar,600,5.0,132.30000000,38.43333333,21.20996659,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,2,5,0.20833333,1,0.05208333,37,biochar,600,5.0,107.70000000,38.43333333,15.65138870,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,3,5,0.20833333,1,0.05208333,37,biochar,600,5.0,28.50000000,38.43333333,-2.24452061,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,1,5,0.20833333,1,0.05208333,37,hydrochar,240,5.0,108.60000000,38.43333333,15.85475131,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,2,5,0.20833333,1,0.05208333,37,hydrochar,240,5.0,120.70000000,38.43333333,18.58884856,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,3,5,0.20833333,1,0.05208333,37,hydrochar,240,5.0,104.10000000,38.43333333,14.83793828,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,1,6,0.25000000,1,0.06250000,37,none,,0.0,136.80000000,42.43333333,21.32294582,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,2,6,0.25000000,1,0.06250000,37,none,,0.0,142.60000000,42.43333333,22.63350483,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,3,6,0.25000000,1,0.06250000,37,none,,0.0,123.70000000,42.43333333,18.36289011,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,1,6,0.25000000,1,0.06250000,37,torrefaction_product,240,5.0,154.40000000,42.43333333,25.29981455,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,2,6,0.25000000,1,0.06250000,37,torrefaction_product,240,5.0,0.90000000,42.43333333,-9.38480766,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,3,6,0.25000000,1,0.06250000,37,torrefaction_product,240,5.0,163.10000000,42.43333333,27.26565308,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,1,6,0.25000000,1,0.06250000,37,biochar,600,5.0,157.90000000,42.43333333,26.09066913,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,2,6,0.25000000,1,0.06250000,37,biochar,600,5.0,128.70000000,42.43333333,19.49268237,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,3,6,0.25000000,1,0.06250000,37,biochar,600,5.0,29.20000000,42.43333333,-2.99018350,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,1,6,0.25000000,1,0.06250000,37,hydrochar,240,5.0,125.30000000,42.43333333,18.72442363,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,2,6,0.25000000,1,0.06250000,37,hydrochar,240,5.0,141.40000000,42.43333333,22.36235469,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
